race_date,race_id,hippodrome,discipline,official,v2_top7,v3_top7,v2_hits,v3_hits,v2_trio,v3_trio,v2_quarte,v3_quarte,v2_quinte,v3_quinte,v4_top7,v4_hits,v4_trio,v4_quarte,v4_quinte,v41_top7,v41_hits,v41_trio,v41_quarte,v41_quinte,v42_top7,v42_hits,v42_trio,v42_quarte,v42_quinte,v42_market_weight,v42_weight_spread
2026-08-22,R1C3_2026-08-22,DEAUVILLE,PLAT,14-9-5-12-10,3-5-9-10-2-15-1,3-5-15-2-8-9-1,3,2,False,False,False,False,False,False,3-5-9-2-15-1-10,3,False,False,False,3-5-15-2-9-1-8,2,False,False,False,3-5-9-2-15-1-10,3,False,False,False,-0.5,9.5
2026-08-23,R1C3_2026-08-23,DEAUVILLE,PLAT,13-5-12-6-11,5-13-6-2-1-12-7,5-13-12-15-6-2-11,4,5,True,True,True,True,False,True,5-13-6-2-12-7-11,5,True,True,True,5-13-12-6-2-11-7,5,True,True,True,5-2-13-6-12-11-7,5,True,True,True,-0.5,10.0
2026-08-24,R1C8_2026-08-24,VINCENNES,ATTELE_VOLTE,13-16-3-17-18,17-13-9-15-16-18-5,17-13-16-12-9-15-3,4,4,False,True,False,True,False,False,17-13-9-15-16-12-5,3,False,False,False,17-13-16-9-15-12-5,3,False,False,False,17-13-16-9-15-12-5,3,False,False,False,-0.4,
2026-08-25,R1C8_2026-08-25,DEAUVILLE,PLAT,14-9-11-6-3,11-5-3-9-4-14-6,11-3-4-14-9-5-8,5,4,True,True,True,False,True,False,11-5-3-9-4-14-6,5,True,True,True,11-3-4-14-9-5-6,5,True,True,True,11-3-5-4-14-9-6,5,True,True,True,-1.0,8.0
2026-08-26,R1C8_2026-08-26,CLAIREFONTAINE,STEEPLECHASE,6-10-1-4-13,4-6-13-14-1-3-7,4-6-1-5-13-14-12,4,4,False,False,False,False,False,False,4-6-13-14-1-5-3,4,False,False,False,4-6-1-13-14-5-3,4,False,False,False,4-6-1-13-14-5-3,4,False,False,False,-0.4,
2026-08-27,R1C8_2026-08-27,DEAUVILLE,PLAT,13-1-3-5-14,1-4-2-14-12-9-11,1-4-3-10-14-2-11,2,3,False,False,False,False,False,False,1-4-2-14-11-3-9,3,False,False,False,1-4-14-2-11-3-9,3,False,False,False,1-4-2-14-11-3-9,3,False,False,False,-0.5,9.0
2026-08-28,R1C4_2026-08-28,CABOURG,ATTELE_VOLTE,5-9-10-16-1,7-6-16-9-13-4-8,7-6-4-13-16-9-3,2,2,False,False,False,False,False,False,7-6-16-9-13-4-3,2,False,False,False,7-6-4-13-16-9-3,2,False,False,False,7-6-4-13-16-9-3,2,False,False,False,-0.4,
2026-08-29,R1C4_2026-08-29,VINCENNES,ATTELE_VOLTE,6-12-13-2-1,12-13-8-2-9-5-6,12-8-9-6-13-2-1,4,5,True,True,True,True,False,True,12-13-8-2-9-6-1,5,True,True,True,12-8-9-6-13-2-1,5,True,True,True,12-8-9-6-13-2-1,5,True,True,True,-0.4,
2026-08-31,R1C1_2026-08-31,SAINT-CLOUD,PLAT,1-2-15-14-13,11-6-9-3-4-8-1,9-11-8-14-12-6-13,1,2,False,False,False,False,False,False,11-6-9-8-1-14-12,2,False,False,False,9-11-8-6-12-14-13,2,False,False,False,9-11-8-6-12-14-13,2,False,False,False,-1.0,7.5
2026-09-02,R1C1_2026-09-02,LA CAPELLE,ATTELE_AUTOSTART,9-13-10-6-11,9-7-6-11-13-10-1,9-13-7-1-11-6-2,5,4,True,False,True,False,True,False,9-7-6-11-13-1-10,5,True,True,True,9-13-7-1-11-6-10,5,True,True,True,9-13-7-1-11-6-10,5,True,True,True,-0.4,
2026-09-03,R1C1_2026-09-03,ParisLongchamp,PLAT,14-1-10-3-13,3-13-16-14-1-9-5,3-13-1-9-16-14-8,4,4,False,False,False,False,False,False,3-13-16-14-1-9-8,4,False,False,False,3-13-1-9-16-14-8,4,False,False,False,3-13-14-16-1-9-8,4,False,False,False,-0.8,4.0
2026-09-04,R1C4_2026-09-04,VINCENNES,ATTELE_VOLTE,8-11-12-6-2,15-11-2-8-9-14-6,15-11-14-9-2-8-6,4,4,False,False,False,False,False,False,15-11-2-8-9-14-6,4,False,False,False,15-11-14-9-2-8-6,4,False,False,False,15-11-14-9-2-8-6,4,False,False,False,-0.4,
2026-09-05,R1C4_2026-09-05,VINCENNES,ATTELE_VOLTE,10-3-13-6-14,3-10-8-14-11-6-13,10-3-6-11-14-8-4,5,4,True,False,True,False,True,False,3-10-8-14-11-6-13,5,True,True,True,10-3-6-11-14-8-13,5,True,True,True,10-3-6-11-14-8-13,5,True,True,True,-0.4,
2026-09-06,R1C3_2026-09-06,ParisLongchamp,PLAT,9-2-16-12-1,8-4-13-2-10-1-12,8-4-14-10-13-2-9,3,2,False,False,False,False,False,False,8-4-13-2-10-12-14,2,False,False,False,8-4-10-13-2-12-9,3,False,False,False,8-4-13-2-10-9-12,3,False,False,False,-1.0,7.0
2026-09-07,R1C1_2026-09-07,CRAON,ATTELE_VOLTE,13-16-7-3-6,13-14-10-3-16-5-8,13-14-8-16-10-3-2,3,3,False,False,False,False,False,False,13-14-10-3-16-8-5,3,False,False,False,13-14-8-16-10-3-5,3,False,False,False,13-14-8-16-10-3-5,3,False,False,False,-0.4,
2026-09-08,R1C1_2026-09-08,AUTEUIL,HAIES,8-14-9-4-5,1-10-5-8-2-9-16,10-1-2-16-5-8-12,3,2,False,False,False,False,False,False,1-10-5-8-2-16-12,2,False,False,False,10-1-2-16-5-8-12,2,False,False,False,10-1-2-16-5-8-12,2,False,False,False,-0.4,
